Index,ChrIndex,ImgSide,ThinkSpeechBubble,CutScene,Spine,SpineAnimation,SoundEffect,ko,en,it,pt,es,es_419,de,fr,ru,zh,ja,ar
1,14,L,0,,,,,아버지와 그렇게 충돌이 있고%n난 후 말을 타고 성을 나갔지.,"After that confrontation with my father, I rode out of the castle.",,"Depois daquele confronto com meu pai, eu saí do castelo a cavalo.","Después de esa confrontación con mi padre, salí del castillo a caballo.",,Nach dieser Konfrontation mit meinem Vater bin ich aus dem Schloss geritten.,"Après cette confrontation avec mon père, je suis sortie du château à cheval.",После той ссоры с отцом я уехала из замка верхом.,,父とのあの対立の後、馬に乗って城を出たんだ。,"بعد تلك المواجهة مع والدي، ركبتُ حصاني وخرجتُ من القلعة."
2,5,R,0,,,,,그런 일이 있으셨군요.,That must have been quite an event.,,Isso deve ter sido um grande evento.,Eso debe haber sido todo un evento.,,Das muss ein ziemliches Ereignis gewesen sein.,Ça a dû être tout un événement.,Это должно было быть значительное событие.,,それは大変なことだったでしょう。,لابد أن ذلك كان حدثًا كبيرًا.
3,5,R,0,,,,,그런데 어떻게%n불이 난 것을 아셨어요?,But how did you know about the fire?,,Mas como você soube sobre o incêndio?,"Pero, ¿cómo supiste del incendio?",,Aber wie hast du vom Feuer erfahren?,Mais comment avez-vous su pour l'incendie?,Но как вы узнали о пожаре?,,でも、どうやって火事のことを知ったんですか？,ولكن كيف علمتَ بالحريق؟
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
